ID Działki,Gmina,Powiat,Pow. m²,Użytkowanie,Wart. gruntu zł,Cena m²,WFS Status,Linie Wykryte,Napięcie,Long. linii m,Track A zł,Track B zł,Statusodszkodowania
142003_2.0002.81/5,Baboszewo,Płoński,9915.41,ROLA (R),84280.99,8.5,ERROR,NIE,—,0.0,4214.05,6573.92,TEORETYCZNE
142003_2.0002.81/8,Baboszewo,Płoński,39215.45,ROLA (R),333331.32,8.5,ERROR,NIE,—,0.0,16666.57,25999.85,TEORETYCZNE
